Reto Achermann
Periklis Akritidis
Saurabh Bagchi
Jia-Ju Bai
Oana Balmau
Frank Bellosa
Pramod Bhatotia
Steve Blackburn
Sergey Blagodurov
Nathan Bronson
Edouard Bugnion
Anton Burtsev
Haibo Chen
Kang Chen
Rong Chen
Shimin Chen
Wenguang Chen
Landon Cox
Natacha Crooks
Dilma da Silva
Angela Demke Brown
Thaleia Dimitra Doudali
Jason Flinn
Justin Funston
Ashvin Goel
Steve Gribble
Rachid Guerraoui
Sam H. Noh
Tim Harris
Wenjun Hu
Jian Huang
Evangelia Kalyvianaki
Sanidhya Kashyap
Antoine Kaufmann
Ana Klimovic
Youngjin Kwon
Yanfang Le
Baptiste Lepers
Jinyang Li
Jean-Pierre Lozi
Xiaosong Ma
Jayashree Mohan
Djob Mvondo
Roberto Natella
Pierre Olivier
KyoungSoo Park
Thomas Pasquier
Mathias Payer
Gennady Pekhimenko
Guillaume Pierre
Peter Pietzuch
Nuno Preguica
Vivien Quema
Andrew Quinn
Mahadev Satyanarayanan
Valerio Schiavoni
Bianca Schroeder
Malte Schwarzkopf
Liuba Shrira
Mark Silberstein
Phillip Stanley-Marbell
Michael Stumm
Gaël Thomas
John Wilkes
Gala Yadgar
Haifeng Yu
Ding Yuan
Noa Zilberman
